	N1_1	N2_1	N3_1	N4_1	N5_1	N7_1	N9_1	N11_1	N13_1	N14_1	N15_1	W1_1	W3_1	W5_1	W6_1	W7_1	W10_1	W11_1	W12_1	W14_1
New.ReferenceOTU54353	23	3	16	1	51	1	1	0	3	0	1	1	0	1	30	5	0	2	3	4
New.ReferenceOTU49779	0	0	0	0	7	2	5	1	0	1	0	0	1	5	9	69	17	22	5	2
314752	0	4	1	15	0	9	7	28	12	22	9	2	7	2	0	2	19	4	0	1
668499	25	16	11	14	4	2	0	2	10	8	3	7	30	3	0	0	0	1	4	4
211947	37	1	31	9	40	1	0	0	2	0	0	0	1	1	8	9	0	1	1	1
1898675	1	25	0	6	3	7	4	6	13	1	12	7	4	9	5	1	10	14	10	4
New.ReferenceOTU8058	1	0	1	7	0	11	8	12	6	4	7	5	1	3	4	6	25	18	12	10
New.ReferenceOTU19351	0	0	0	11	1	7	6	5	2	16	7	0	0	0	25	44	2	1	5	8
4299771	6	45	4	4	4	4	3	0	2	0	2	10	16	0	7	2	12	9	5	3
2194877	0	2	0	11	0	22	10	17	21	12	8	11	3	2	5	1	1	1	6	4
New.ReferenceOTU49470	0	0	0	0	1	5	6	1	1	2	6	2	49	21	1	1	13	13	8	5
New.ReferenceOTU48909	0	0	1	4	1	10	12	16	1	17	6	4	2	13	0	23	0	7	2	16
1141722	0	2	4	3	1	0	2	2	0	3	4	0	0	1	3	4	2	0	90	11
4090187	1	6	1	3	1	8	6	2	9	0	7	19	31	15	10	0	3	5	4	1
New.ReferenceOTU28066	0	0	0	7	0	38	20	8	5	9	12	4	6	2	0	6	5	2	4	2
New.ReferenceOTU16688	0	0	0	1	0	5	4	4	5	3	5	6	34	50	0	4	1	4	4	0
New.ReferenceOTU56007	22	22	32	5	10	1	1	0	3	0	0	1	1	0	21	3	5	2	0	0
New.ReferenceOTU21854	0	0	2	5	0	11	6	7	2	4	6	9	23	40	0	7	1	1	3	1
533886	14	30	13	5	18	4	1	4	6	2	1	3	2	0	8	2	7	1	2	4
115161	0	2	0	2	1	6	7	5	23	5	4	13	6	8	23	3	5	5	7	2
New.ReferenceOTU40531	0	0	0	7	1	14	16	9	11	2	10	30	9	5	0	5	2	3	2	1
New.ReferenceOTU18699	21	2	16	2	37	1	0	0	2	1	0	0	0	6	14	4	1	2	7	9
270517	1	0	2	4	3	5	6	6	4	13	13	2	7	7	0	12	1	4	2	33
332326	1	0	0	3	0	9	10	4	6	2	8	10	17	11	4	1	18	17	2	0
New.ReferenceOTU10202	19	13	17	3	16	7	2	9	3	2	2	5	0	1	16	0	2	0	4	1
2194878	0	0	3	0	4	1	2	0	0	3	1	0	0	16	0	5	4	3	31	49
59851	3	5	56	2	33	2	0	2	1	1	2	0	1	3	0	3	0	3	0	5
New.ReferenceOTU25610	0	0	0	2	0	13	17	20	4	15	13	16	5	2	3	2	1	1	4	2
New.ReferenceOTU42897	0	0	0	9	1	3	3	5	2	1	1	0	0	3	2	4	4	1	13	68
New.ReferenceOTU22286	8	0	61	1	23	1	0	1	0	1	0	0	1	1	1	14	0	2	1	3
230687	0	0	0	0	0	2	5	3	2	4	4	51	4	7	1	2	1	0	10	23
New.ReferenceOTU1071	0	0	0	0	2	0	3	5	13	8	13	0	2	7	1	1	6	3	21	31
New.ReferenceOTU38061	0	0	0	0	1	4	6	9	2	12	3	61	3	1	1	13	0	0	0	0
New.ReferenceOTU24561	0	0	0	1	0	13	8	10	4	13	26	11	8	11	0	2	3	1	3	1
New.ReferenceOTU27292	0	0	0	1	0	2	8	11	1	11	3	69	4	2	0	1	0	0	0	1
New.ReferenceOTU40717	14	1	13	2	34	0	1	0	0	0	0	0	0	5	9	13	2	6	7	6
New.ReferenceOTU1191	0	2	0	4	1	5	4	8	10	2	3	8	11	10	12	5	12	11	2	2
New.ReferenceOTU5353	0	0	0	22	0	12	10	7	4	8	12	10	10	8	0	4	3	1	1	0
791738	8	12	2	4	0	12	5	5	14	2	2	10	10	2	1	0	11	9	2	0
New.ReferenceOTU33037	0	0	7	0	6	2	4	1	0	1	4	0	1	7	6	23	0	6	21	22
813109	0	0	0	1	0	5	2	9	5	1	2	25	11	32	1	0	1	3	12	1
1708706	10	27	14	8	10	3	2	2	0	1	4	1	2	0	11	1	2	4	3	3
New.ReferenceOTU54416	14	0	19	4	30	3	1	1	0	1	2	0	0	0	4	18	1	1	3	5
New.ReferenceOTU21561	10	7	17	4	5	5	2	0	1	0	1	2	3	0	30	4	10	3	2	0
436550	6	18	4	3	5	5	3	2	3	2	4	5	3	2	9	0	13	0	9	8
1131789	1	6	1	14	1	8	4	10	7	1	1	10	8	7	3	6	4	3	3	5
849585	1	0	0	6	1	5	11	12	4	13	6	0	0	0	3	35	0	1	3	2
4337739	0	0	1	0	0	3	7	7	5	9	12	15	12	5	3	9	1	3	3	8
1126763	8	5	13	7	8	6	4	4	12	2	4	2	2	0	11	6	2	2	1	3
New.ReferenceOTU52794	0	0	1	2	1	2	3	5	1	5	6	7	18	34	1	7	0	5	1	3
New.ReferenceOTU39783	8	8	15	2	25	1	1	0	3	0	1	0	1	0	12	2	0	7	10	5
New.ReferenceOTU37748	0	0	0	4	1	11	7	5	3	1	8	5	21	28	0	4	0	2	1	0
1106617	0	0	0	3	0	11	4	1	7	2	11	3	14	7	6	1	15	7	6	1
New.ReferenceOTU41555	0	0	0	8	0	12	9	13	9	9	7	10	4	3	6	1	0	2	3	2
2174311	1	0	2	3	0	11	5	8	4	2	11	2	16	6	5	0	8	6	7	0
4395040	0	1	0	7	0	3	6	25	11	10	6	5	0	0	18	1	0	1	1	1
1133774	0	0	0	8	1	6	9	16	2	19	5	16	10	3	0	0	0	0	0	1
New.ReferenceOTU43405	2	0	5	5	5	4	0	4	3	5	3	0	5	9	4	27	3	6	4	2
838940	5	0	8	4	11	6	2	8	1	7	6	0	2	1	0	11	0	9	4	10
New.ReferenceOTU24297	19	2	13	4	25	1	3	2	2	0	0	0	0	0	16	1	1	1	2	3
New.ReferenceOTU19777	0	1	0	6	0	15	21	15	8	10	11	1	3	1	0	1	0	0	2	0
New.ReferenceOTU28555	0	0	0	2	0	7	11	15	7	8	6	25	3	1	1	9	0	0	0	0
564103	5	30	1	17	0	4	2	0	5	3	4	2	6	0	1	6	1	2	3	2
New.ReferenceOTU49711	0	0	0	3	0	6	8	12	2	14	3	24	8	5	1	1	0	3	2	2
New.ReferenceOTU40158	2	3	17	0	10	0	0	1	0	4	2	1	2	2	13	4	1	3	17	11
304212	0	0	0	0	0	2	2	13	7	22	6	6	7	4	5	9	0	1	4	4
4395995	5	8	5	3	11	8	1	1	6	0	4	1	3	2	5	1	10	6	11	1
New.ReferenceOTU38049	0	0	0	5	0	9	21	3	2	9	7	16	4	1	0	2	5	1	4	3
New.ReferenceOTU28695	20	0	11	0	29	1	0	0	1	0	1	1	0	1	12	4	0	1	4	2
New.ReferenceOTU36966	0	0	0	11	0	16	11	9	10	3	2	12	10	1	1	0	0	1	1	0
4458998	0	0	0	1	0	1	2	4	2	16	10	0	11	10	0	8	0	2	2	18
New.ReferenceOTU12944	0	0	1	13	0	14	4	6	4	5	6	2	4	7	1	4	4	5	4	3
New.ReferenceOTU20394	0	0	0	4	0	6	6	6	9	6	8	20	12	0	2	5	0	0	1	0
4311953	20	14	9	1	9	2	1	1	2	1	2	1	4	3	7	1	0	2	2	2
New.ReferenceOTU2340	0	0	0	0	0	2	6	5	3	5	1	51	2	2	0	5	0	1	1	0
New.ReferenceOTU35764	0	0	0	7	0	11	11	9	2	3	5	17	8	2	2	0	1	3	2	0
New.ReferenceOTU42903	0	0	1	12	1	8	8	8	2	10	15	1	0	5	2	4	0	1	2	3
620189	6	1	14	24	18	1	2	1	0	2	1	0	0	0	0	5	1	0	1	5
4413494	2	0	2	0	3	2	1	1	0	13	4	0	1	3	2	7	1	1	3	36
4453524	0	0	0	4	0	10	6	7	5	3	11	3	5	3	3	1	10	5	3	3
346142	0	0	1	4	0	1	4	9	3	15	6	28	1	2	0	6	0	1	0	1
New.ReferenceOTU56302	0	1	0	2	0	2	3	2	3	1	8	6	4	5	4	0	23	8	9	1
4329776	23	6	18	2	17	0	1	0	2	1	1	0	1	2	4	1	0	0	0	2
1904497	28	1	10	1	13	1	2	3	0	3	0	0	0	2	4	9	0	1	1	2
New.ReferenceOTU5996	8	2	12	2	35	1	0	1	0	0	0	1	0	1	7	4	1	2	1	3
New.ReferenceOTU11771	0	0	1	0	1	6	4	3	3	3	14	1	1	7	2	1	25	7	1	1
New.ReferenceOTU31541	0	0	0	2	0	0	7	16	4	21	4	5	1	1	0	6	0	1	7	5
New.ReferenceOTU46889	0	0	0	1	0	7	10	18	4	10	4	14	4	3	0	1	0	4	0	0
New.ReferenceOTU14280	0	0	0	4	0	4	6	19	8	20	7	2	0	1	0	6	0	0	2	1
4383166	2	16	1	4	2	4	7	3	10	3	4	2	1	0	3	0	6	0	5	5
166896	15	3	11	1	20	0	1	0	18	0	1	0	1	0	1	4	0	1	1	0
646052	0	1	0	1	0	4	2	3	5	25	7	3	5	0	4	0	2	1	13	1
New.ReferenceOTU33015	0	0	0	2	0	11	7	9	7	5	11	9	5	1	5	2	1	0	1	0
New.ReferenceOTU24847	0	0	0	3	0	3	4	8	2	10	8	24	3	2	0	6	0	1	1	0
4356713	5	28	7	2	0	3	0	0	2	1	0	4	2	0	7	1	6	2	1	3
New.ReferenceOTU48361	0	0	0	5	0	16	11	12	0	15	4	3	2	1	2	1	0	1	0	0
343239	0	2	1	3	1	11	5	1	3	0	6	5	8	2	4	1	11	3	2	3
593422	13	1	8	4	12	0	1	1	3	0	2	1	1	2	7	4	1	4	3	3
New.ReferenceOTU20022	0	0	0	0	0	6	5	3	0	3	3	4	17	19	0	2	1	6	2	0
4203053	0	0	0	14	0	3	5	4	1	4	2	11	5	5	0	0	0	3	13	0
191698	0	0	2	1	3	1	2	3	0	6	3	0	0	1	2	10	0	0	5	30
New.ReferenceOTU9016	0	0	0	3	0	8	4	11	3	6	5	3	6	12	0	0	5	1	1	0
New.ReferenceOTU41772	0	0	0	1	0	2	3	5	3	2	9	6	8	11	2	0	5	6	5	0
